,,,,,,,,,,,,
,PRECIFAST PVT LIMITED,,,,,,,,,,,
,TOOL SCHEDULE,,,,,,,,,,,
,TOOL LAY OUT NO,,TS-DF181098,,SIZE,,,,M5X0.8X12 PAN HEAD SCREW,,,
,DATE,,006-06-2025,,MACHINE,,,,CH-5L,,,
,WIRE DIA,,Ø4.38 MM,,,,,,,,,
,S.No.,Tool Code,Tool Description,NO OF TOOLS,REVISION ,,,,REMARKS,,,
,,,,,,,,,,,,
, CUT OFF  STATION,,,,1,2,3,4,,,,
,1,T.08.0.071.001,Feed Roll   ,2,-,-,-,-,M5 TRUSS HEAD,,,
,2,T.08.0.075.003,Quill ,1,-,-,-,-,M5 TRUSS HEAD,,,
,4,T.08.0.073.003,Cutter  ,1,-,-,-,-,M5 TRUSS HEAD,,,
, 1ST STATION,,,,,,,,,,,
,1,T.08.0.001.001,Sliding Punch Case ,1,-,-,-,-,M5 TRUSS HEAD,,,
,2,T.08.0.066.001,Sliding Punch,1,-,-,-,-,N,,,
,3,T.08.0.006.001,Sliding Punch pin ,1,-,-,-,-,M5 TRUSS HEAD,,,
,4,T.08.0.099.001,Spring,1,-,-,-,-,M5 TRUSS HEAD,,,
,5,T.08.0.004.001,Spring Filler,1,-,-,-,-,M5 TRUSS HEAD,,,
,6,T.08.0.080.001,Front Die (60),1,-,-,-,-,M5 TRUSS HEAD,,,
,7,T.08.0.056.001,Back Filler (15),1,-,-,-,-,M5 TRUSS HEAD,,,
,8,T.08.0.044.001,K.O Pin,1,-,-,-,-,M5 TRUSS HEAD,,,
, 2ND STATION,,,,,,,,,,,
,1,T.08.0.001.002,Punch Case ,1,-,-,-,-,M5 TRUSS HEAD,,,
,2,JMP M50,Punch Insert,1,-,-,-,-,N,,,
, Prepared By :                                                                     Checked By:                                                                              Approved By:,,,,,,,,,,,
,,,,,,,FORMAT NO:FT/DES/08,,,,,"
"
,,,,,,,,,,,,
,,,,,,,,,,,,°
